,,,,,,,,,,,,,,,,,,,,,
Dates: U.S. exports by unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Show/hide quarterly totals,,,Quarter 1,,,,,Quarter 2,,,,,Quarter 3,,,,Quarter 4,,,,
Fresh_,,Market year*,Sep,Oct,Nov,Q1,,Dec,Jan,,Feb,Q2,Mar,Apr,May,Q3,Jun,Jul,Aug,Q4,Avg
,,2014/15,2.43,3.13,3.18,2.93,,2.98,3.05,,2.96,2.99,3.00,NA,NA,3.00,NA,NA,NA,NaN,2.96
,,2013/14,3.19,2.99,3.22,3.12,,3.19,3.35,,3.50,3.29,3.42,3.53,3.45,3.47,3.38,2.69,2.14,2.92,3.21
,,2012/13,2.89,3.15,2.89,2.98,,2.94,2.75,,3.22,2.94,2.99,3.15,3.37,3.22,3.09,2.92,2.14,2.76,3.02
,,2011/12,2.64,3.03,2.77,2.84,,2.85,3.00,,2.70,2.86,3.05,3.17,3.12,3.12,2.82,2.47,2.58,2.65,2.89
,,2010/11,2.83,2.92,2.79,2.86,,2.74,2.64,,2.81,2.72,2.83,3.09,2.76,2.91,2.90,2.72,1.77,2.64,2.80
,,2009/10,2.84,2.87,2.74,2.82,,2.48,2.20,,2.66,2.47,2.64,2.52,2.63,2.60,2.66,2.71,2.10,2.52,2.64
,,,,,,,,,,,,,,,,,,,,,
,Unit value: Calculated by dividing value by volume.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
